Command,Code_h,Name,,Address,Dummy,Data,Data Min,Data Max,isWriteData,,,,,,,AddressLines,Data Lines,,,,,,Ext,"DualI/O","QuadI/O","DataBytes",Notes,,,7,6,5,4,3,2,1,0,,Quad
RESET ENABLE,66,Reset Enable,,0,0,0,0,0,0,,false,false,false,false,,0x00,0x00,,"0x66,"," {false,false,false,false,0x00,0x00}, // Reset Enable","qspi_cmds[0x66] = {false,false,false,false,0x00,0x00,""Reset Enable""};",,Yes,Yes,Yes,0,2,,1100110,0,1,1,0,0,1,1,0,,seems fine
RESET MEMORY,99,Reset Memory,,0,0,0,1,0,0,,false,false,false,false,,0x00,0x00,,"0x99,"," {false,false,false,false,0x00,0x00}, // Reset Memory","qspi_cmds[0x99] = {false,false,false,false,0x00,0x00,""Reset Memory""};",,Yes,Yes,Yes,0,,,10011001,1,0,0,1,1,0,0,1,,seems fine
READ ID,9E,Read Id,,0,0,1,1,20,0,,false,false,true,false,,0x00,0x02,,"0x9E,"," {false,false,true,false,0x00,0x02}, // Read Id","qspi_cmds[0x9E] = {false,false,true,false,0x00,0x02,""Read Id""};",,Yes,No,No,1 to 20,2,,10011110,1,0,0,1,1,1,1,0,,
READ ID,9F,Read Id,,0,0,1,1,20,0,,false,false,true,false,,0x00,0x02,,"0x9F,"," {false,false,true,false,0x00,0x02}, // Read Id","qspi_cmds[0x9F] = {false,false,true,false,0x00,0x02,""Read Id""};",,Yes,No,No,1 to 20,2,,10011111,1,0,0,1,1,1,1,1,,
MULTIPLE I/O READ ID,AF,Multiple I/O Read Id,,0,0,1,1,3,0,,false,false,true,false,,0x00,0x02,,"0xAF,"," {false,false,true,false,0x00,0x02}, // Multiple I/O Read Id","qspi_cmds[0xAF] = {false,false,true,false,0x00,0x02,""Multiple I/O Read Id""};",,No,Yes,Yes,1 to 3,2,,10101111,1,0,1,0,1,1,1,1,,seems fine
"READ SERIAL FLASH 
DISCOVERY PARAMETER",5A,Read Flash Disc Param,,1,1,1,1,-1,0,,true,true,true,false,,0x01,0x02,,"0x5A,"," {true,true,true,false,0x01,0x02}, // Read Flash Disc Param","qspi_cmds[0x5A] = {true,true,true,false,0x01,0x02,""Read Flash Disc Param""};","10 dummy clocks in quad, 8 in Ext or dual",Yes,Yes,Yes,1 to âˆž,3,,1011010,0,1,0,1,1,0,1,0,,seems fine
READ,03,Read,,1,0,1,1,-1,0,,true,false,true,false,,0x01,0x02,,"0x03,"," {true,false,true,false,0x01,0x02}, // Read","qspi_cmds[0x03] = {true,false,true,false,0x01,0x02,""Read""};",,Yes,No,No,1 to âˆž,4,,11,0,0,0,0,0,0,1,1,,
FAST READ,0B,Fast Read,,1,1,1,1,-1,0,,true,true,true,false,,0x01,0x02,,"0x0B,"," {true,true,true,false,0x01,0x02}, // Fast Read","qspi_cmds[0x0B] = {true,true,true,false,0x01,0x02,""Fast Read""};",,Yes,Yes,,,5,,1011,0,0,0,0,1,0,1,1,,
DUAL OUTPUT FAST READ,3B,Dual Output Fast Read,,1,1,1,1,-1,0,,true,true,true,false,,0x01,0x03,,"0x3B,"," {true,true,true,false,0x01,0x03}, // Dual Output Fast Read","qspi_cmds[0x3B] = {true,true,true,false,0x01,0x03,""Dual Output Fast Read""};",,Yes,Yes,No,1 to âˆž,5,,111011,0,0,1,1,1,0,1,1,,
DUAL INPUT/OUTPUT FAST READ,BB,Dual I/O Fast Read,,1,1,1,1,-1,0,,true,true,true,false,,0x03,0x03,,"0xBB,"," {true,true,true,false,0x03,0x03}, // Dual I/O Fast Read","qspi_cmds[0xBB] = {true,true,true,false,0x03,0x03,""Dual I/O Fast Read""};",,Yes,Yes,,,,,10111011,1,0,1,1,1,0,1,1,,
